conversation_id,customer_text,brand_reply_text,created_at,brand,customer_text_clean
100000,@AmazonHelp Just noticed an unauthorized charge of $72.49 for Prime membership that I never authorized.,"Sorry for the unexpected charge! If you did not intend to renew Prime, please DM us your email and we can help reverse eligible fees.",Mon Oct 02 17:33:00 +0000 2017,AmazonHelp,just noticed an unauthorized charge of currency amount for prime membership that i never authorized.
100002,@AmazonHelp Package #617-1445199-4335942 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hi there, we're sorry to hear your order #617-1445199-4335942 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Sun Oct 08 15:24:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100004,@AmazonHelp Return status says received at warehouse but refund not initiated for #259-4612365-6647119. Please help.,Hi! We want to help get this sorted. Please send us a direct message with order #259-4612365-6647119 and return tracking number so we can verify with our billing team.,Tue Oct 03 08:28:00 +0000 2017,AmazonHelp,return status says received at warehouse but refund not initiated for order number . please help.
100006,@AmazonHelp Locked out of my account. The OTP verification code is not being sent to my phone.,We're sorry you're having trouble accessing your account. Please send us a DM so we can securely guide you through the two-step verification reset.,Sat Oct 14 13:06:00 +0000 2017,AmazonHelp,locked out of my account. the otp verification code is not being sent to my phone.
100008,@AmazonHelp How can I change my primary delivery address before placing an order?,"Hi there! Yes, Amazon gift cards can be applied to Kindle digital purchases. Check out amzn.to/giftcard-faq for more information.",Fri Oct 13 12:37:00 +0000 2017,AmazonHelp,how can i change my primary delivery address before placing an order?
100010,@AmazonHelp Package #750-3871230-9961380 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hello! We apologize for the delivery issue with #750-3871230-9961380. Please check around your porch/neighbors, and if still missing, DM us your account email.",Mon Oct 16 03:13:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100012,@AmazonHelp Can someone check on order #132-6292423-7730428? It's a birthday gift and now it's late.,So sorry for the delay on #132-6292423-7730428! Please DM us your order details and we will check the transit status directly for you.,Sun Oct 22 06:12:00 +0000 2017,AmazonHelp,can someone check on order order number ? it's a birthday gift and now it's late.
100014,@AmazonHelp Need a refund for #352-5408072-8187926. Sent back via drop-off locker 5 days ago.,"Hello! Once an item is received at our fulfillment center, refunds usually take 3-5 business days. Please DM us your order #352-5408072-8187926 to check status.",Tue Oct 03 12:28:00 +0000 2017,AmazonHelp,need a refund for order number . sent back via drop-off locker 5 days ago.
100016,@AmazonHelp Package #263-8082668-2065818 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hi there, we're sorry to hear your order #263-8082668-2065818 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Fri Oct 06 14:08:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100018,@AmazonHelp Getting 'An unexpected error occurred' whenever I try to add items to my shopping cart.,We apologize for the technical glitch! Our technical team is monitoring site stability. Please send us a DM with a screenshot if the error continues.,Fri Oct 06 05:14:00 +0000 2017,AmazonHelp,getting 'an unexpected error occurred' whenever i try to add items to my shopping cart.
100020,@AmazonHelp I returned item on order #754-9517169-4337174 over a week ago and still haven't received my refund.,Hi! We want to help get this sorted. Please send us a direct message with order #754-9517169-4337174 and return tracking number so we can verify with our billing team.,Mon Oct 02 06:17:00 +0000 2017,AmazonHelp,i returned item on order order number over a week ago and still haven't received my refund.
